,Open,High,Low,Close,Adj Close,Volume,bullish,volume_before_1,volume_diff_last_hour,volume_before_2,volume_diff_last_2_hour,volume_before_3,volume_diff_last_3_hour,volume_before_4,volume_diff_last_4_hour,volume_before_5,volume_diff_last_5_hour,close_before_1,close_diff_last_hour,close_before_2,close_diff_last_2_hour,close_before_3,close_diff_last_3_hour,close_before_4,close_diff_last_4_hour,close_before_5,close_diff_last_5_hour,close_before_6,close_diff_last_6_hour,close_before_7,close_diff_last_7_hour,close_before_8,close_diff_last_8_hour,close_before_9,close_diff_last_9_hour,SMA_15,SMA_30,SMA_indicator,SMA_indicator_before_1,SMA_indicator_before_2,SMA_indicator_before_3,SMA_indicator_before_4,Upper_Bollinger,Lower_Bollinger,Middle_Bollinger,close_diff_Upper_Bollinger,close_diff_Lower_Bollinger,Bollinger_indicator,Bollinger_indicator_before_1,Bollinger_indicator_before_2,Bollinger_indicator_before_3,Bollinger_indicator_before_4,true_range,holiday_day_diff_before,date,weekday,time
2019-01-02 09:30:00,315.5,319.7099914550781,313.8999938964844,318.44000244140625,318.44000244140625,724286,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.44000244140625,318.44000244140625,0,,,,,,,318.44000244140625,,,,,,,,,34,2,2,1
2019-01-02 10:30:00,318.4393005371094,322.3070068359375,317.3500061035156,320.5202941894531,320.5202941894531,394681,0.0,724286.0,,,,,,,,,,318.44000244140625,,,,,,,,,,,,,,,,,,319.4801483154297,319.4801483154297,0,0.0,,,,322.4221251192104,316.53817151164895,319.4801483154297,-1.9018309297572955,3.9821226778041705,2.0,,,,,4.957000732421875,34,2,2,2
2019-01-02 11:30:00,320.5675048828125,321.65869140625,319.093505859375,319.54779052734375,319.54779052734375,250973,0.0,394681.0,-329605.0,724286.0,,,,,,,,320.5202941894531,2.080291748046875,318.44000244140625,,,,,,,,,,,,,,,,319.50269571940106,319.50269571940106,0,0.0,0.0,,,321.584453241809,317.4209381969931,319.50269571940106,-2.036662714465251,2.12685233035063,2.0,2.0,,,,2.565185546875,34,2,2,3
2019-01-02 12:30:00,319.7984924316406,323.69000244140625,319.25,323.3407897949219,323.3407897949219,274696,0.0,250973.0,-143708.0,394681.0,-329605.0,724286.0,,,,,,319.54779052734375,-0.972503662109375,320.5202941894531,2.080291748046875,318.44000244140625,,,,,,,,,,,,,,320.46221923828125,320.46221923828125,0,0.0,0.0,0.0,,324.65985060060325,316.26458787595925,320.46221923828125,-1.3190608056813744,7.076201918962624,2.0,2.0,2.0,,,4.44000244140625,34,2,2,4
2019-01-02 13:30:00,323.4432067871094,323.7900085449219,320.67999267578125,321.760009765625,321.760009765625,265741,0.0,274696.0,23723.0,250973.0,-143708.0,394681.0,-329605.0,724286.0,,,,323.3407897949219,3.792999267578125,319.54779052734375,-0.972503662109375,320.5202941894531,2.080291748046875,318.44000244140625,,,,,,,,,,,,320.72177734375,320.72177734375,0,0.0,0.0,0.0,0.0,324.53786041317505,316.9056942743249,320.72177734375,-2.7778506475500535,4.854315491300099,2.0,2.0,2.0,2.0,,3.110015869140625,34,2,2,5
2019-01-02 14:30:00,322.0,322.7322998046875,319.5299987792969,320.82000732421875,320.82000732421875,365267,0.0,265741.0,-8955.0,274696.0,23723.0,250973.0,-143708.0,394681.0,-329605.0,724286.0,,321.760009765625,-1.580780029296875,323.3407897949219,3.792999267578125,319.54779052734375,-0.972503662109375,320.5202941894531,2.080291748046875,318.44000244140625,,,,,,,,,,320.73814900716144,320.73814900716144,0,0.0,0.0,0.0,0.0,324.1522996697583,317.3239983445646,320.73814900716144,-3.3322923455395426,3.496008979654164,2.0,2.0,2.0,2.0,2.0,3.202301025390625,34,2,2,6
2019-01-02 15:30:00,320.6700134277344,323.8500061035156,320.244384765625,323.8399963378906,323.8399963378906,360878,0.0,365267.0,99526.0,265741.0,-8955.0,274696.0,23723.0,250973.0,-143708.0,394681.0,-329605.0,320.82000732421875,-0.94000244140625,321.760009765625,-1.580780029296875,323.3407897949219,3.792999267578125,319.54779052734375,-0.972503662109375,320.5202941894531,2.080291748046875,318.44000244140625,,,,,,,,321.18127005440846,321.18127005440846,0,0.0,0.0,0.0,0.0,325.08148320748927,317.28105690132764,321.18127005440846,-1.2414868695986456,6.55893943656298,2.0,2.0,2.0,2.0,2.0,3.605621337890625,34,2,2,7
2019-01-03 09:30:00,318.95001220703125,319.5783996582031,312.3399963378906,312.8999938964844,312.8999938964844,1238390,1.0,360878.0,-4389.0,365267.0,99526.0,265741.0,-8955.0,274696.0,23723.0,250973.0,-143708.0,323.8399963378906,3.019989013671875,320.82000732421875,-0.94000244140625,321.760009765625,-1.580780029296875,323.3407897949219,3.792999267578125,319.54779052734375,-0.972503662109375,320.5202941894531,2.080291748046875,318.44000244140625,,,,,,320.14611053466797,320.14611053466797,0,0.0,0.0,0.0,0.0,327.02566977771437,313.26655129162157,320.14611053466797,-14.125675881229995,-0.36655739513719254,4.0,2.0,2.0,2.0,2.0,11.5,33,3,3,1
2019-01-03 10:30:00,312.760009765625,313.744384765625,309.3999938964844,311.5199890136719,311.5199890136719,841506,1.0,1238390.0,877512.0,360878.0,-4389.0,365267.0,99526.0,265741.0,-8955.0,274696.0,23723.0,312.8999938964844,-10.94000244140625,323.8399963378906,3.019989013671875,320.82000732421875,-0.94000244140625,321.760009765625,-1.580780029296875,323.3407897949219,3.792999267578125,319.54779052734375,-0.972503662109375,320.5202941894531,2.080291748046875,318.44000244140625,,,,319.1876525878906,319.1876525878906,0,0.0,0.0,0.0,0.0,327.8180287293415,310.55727644643974,319.1876525878906,-16.29803971566963,0.9627125672321313,3.0,4.0,2.0,2.0,2.0,4.344390869140625,33,3,3,2
2019-01-03 11:30:00,312.0249938964844,316.6499938964844,311.3800048828125,314.1000061035156,314.1000061035156,734290,1.0,841506.0,-396884.0,1238390.0,877512.0,360878.0,-4389.0,365267.0,99526.0,265741.0,-8955.0,311.5199890136719,-1.3800048828125,312.8999938964844,-10.94000244140625,323.8399963378906,3.019989013671875,320.82000732421875,-0.94000244140625,321.760009765625,-1.580780029296875,323.3407897949219,3.792999267578125,319.54779052734375,-0.972503662109375,320.5202941894531,2.080291748046875,318.44000244140625,,318.67888793945315,318.67888793945315,0,0.0,0.0,0.0,0.0,327.42880899968947,309.92896687921683,318.67888793945315,-13.32880289617384,4.171039224298795,3.0,3.0,4.0,2.0,2.0,5.269989013671875,33,3,3,3
