Date,Open,High,Low,Close,Adj Close,Volume,time
2019-01-02,315.5,319.7099914550781,313.8999938964844,318.44000244140625,318.44000244140625,724286,09:30
2019-01-02,318.4393005371094,322.3070068359375,317.3500061035156,320.5202941894531,320.5202941894531,394681,10:30
2019-01-02,320.5675048828125,321.65869140625,319.093505859375,319.54779052734375,319.54779052734375,250973,11:30
2019-01-02,319.7984924316406,323.69000244140625,319.25,323.3407897949219,323.3407897949219,274696,12:30
2019-01-02,323.4432067871094,323.7900085449219,320.67999267578125,321.760009765625,321.760009765625,265741,13:30
2019-01-02,322.0,322.7322998046875,319.5299987792969,320.82000732421875,320.82000732421875,365267,14:30
2019-01-02,320.6700134277344,323.8500061035156,320.244384765625,323.8399963378906,323.8399963378906,360878,15:30
2019-01-03,318.95001220703125,319.5783996582031,312.3399963378906,312.8999938964844,312.8999938964844,1238390,09:30
2019-01-03,312.760009765625,313.744384765625,309.3999938964844,311.5199890136719,311.5199890136719,841506,10:30
2019-01-03,312.0249938964844,316.6499938964844,311.3800048828125,314.1000061035156,314.1000061035156,734290,11:30
2019-01-03,314.1400146484375,315.0299987792969,310.989990234375,312.0899963378906,312.0899963378906,436157,12:30
2019-01-03,311.989990234375,312.93499755859375,310.34161376953125,312.4200134277344,312.4200134277344,415935,13:30
2019-01-03,312.45001220703125,312.9219970703125,309.6650085449219,310.9700012207031,310.9700012207031,535930,14:30
2019-01-03,310.8900146484375,312.26220703125,310.1300048828125,310.80999755859375,310.80999755859375,757015,15:30
2019-01-04,316.4049987792969,321.3699951171875,316.0799865722656,321.2044982910156,321.2044982910156,823438,09:30
2019-01-04,321.335693359375,323.1199951171875,320.92999267578125,322.2799987792969,322.2799987792969,587208,10:30
2019-01-04,321.92999267578125,325.8900146484375,321.3800048828125,325.260009765625,325.260009765625,482465,11:30
2019-01-04,325.4599914550781,327.8113098144531,324.7687072753906,327.7049865722656,327.7049865722656,458491,12:30
2019-01-04,327.8399963378906,328.4100036621094,325.989990234375,326.9100036621094,326.9100036621094,426502,13:30
2019-01-04,326.989990234375,327.9700012207031,326.0,326.347412109375,326.347412109375,440892,14:30
2019-01-04,326.25,327.0,325.9100036621094,326.8800048828125,326.8800048828125,491340,15:30
2019-01-07,329.7900085449219,329.7900085449219,323.510009765625,324.9700012207031,324.9700012207031,768641,09:30
