Date,Open,High,Low,Close,Adj Close,Volume,time
2019-01-02,123.72000122070312,126.26000213623047,123.08999633789062,125.88999938964844,125.88999938964844,884455,09:30
2019-01-02,125.91000366210938,127.87000274658203,125.75,127.11000061035156,127.11000061035156,467231,10:30
2019-01-02,127.12999725341797,127.30000305175781,126.25,126.45999908447266,126.45999908447266,415937,11:30
2019-01-02,126.52999877929688,127.6500015258789,126.41999816894531,127.4800033569336,127.4800033569336,392219,12:30
2019-01-02,127.48999786376953,127.63999938964844,126.08999633789062,126.33779907226562,126.33779907226562,370394,13:30
2019-01-02,126.38999938964844,126.87999725341797,125.25,125.38500213623047,125.38500213623047,641050,14:30
2019-01-02,125.29000091552734,126.4000015258789,125.12999725341797,126.38999938964844,126.38999938964844,695843,15:30
2019-01-03,125.01000213623047,125.01000213623047,120.87999725341797,121.4800033569336,121.4800033569336,1465194,09:30
2019-01-03,121.37000274658203,122.06999969482422,120.50450134277344,121.30000305175781,121.30000305175781,802038,10:30
2019-01-03,121.37999725341797,123.44999694824219,121.37999725341797,123.11000061035156,123.11000061035156,654023,11:30
2019-01-03,123.01000213623047,123.44999694824219,121.80000305175781,122.05000305175781,122.05000305175781,551376,12:30
2019-01-03,122.05000305175781,123.0,121.97000122070312,122.62000274658203,122.62000274658203,360019,13:30
2019-01-03,122.68000030517578,122.94000244140625,121.13009643554688,121.62999725341797,121.62999725341797,514719,14:30
2019-01-03,121.61000061035156,122.19000244140625,121.0199966430664,121.43000030517578,121.43000030517578,909047,15:30
2019-01-04,123.80000305175781,126.66999816894531,123.7300033569336,126.66999816894531,126.66999816894531,1073605,09:30
2019-01-04,126.75,126.89969635009766,125.83000183105469,126.02999877929688,126.02999877929688,610093,10:30
2019-01-04,126.04000091552734,127.44999694824219,125.83999633789062,127.37000274658203,127.37000274658203,468396,11:30
2019-01-04,127.41000366210938,128.58999633789062,127.16000366210938,128.1699981689453,128.1699981689453,483438,12:30
2019-01-04,128.19500732421875,128.5800018310547,127.26000213623047,128.30999755859375,128.30999755859375,529056,13:30
2019-01-04,128.2899932861328,128.50999450683594,127.36260223388672,127.70500183105469,127.70500183105469,636311,14:30
2019-01-04,127.6500015258789,128.17999267578125,127.58000183105469,128.1199951171875,128.1199951171875,788209,15:30
2019-01-07,128.72999572753906,128.72999572753906,126.73999786376953,127.55999755859375,127.55999755859375,764978,09:30
2019-01-07,127.68000030517578,128.7899932861328,127.68000030517578,128.25,128.25,461308,10:30
2019-01-07,128.3800048828125,129.50999450683594,128.1699981689453,129.08999633789062,129.08999633789062,431131,11:30
2019-01-07,129.1300048828125,129.55999755859375,129.02999877929688,129.42999267578125,129.42999267578125,343858,12:30
2019-01-07,129.4761962890625,129.60000610351562,128.4600067138672,128.5,128.5,355154,13:30
2019-01-07,128.5399932861328,128.9499969482422,127.97000122070312,128.8007049560547,128.8007049560547,462687,14:30
2019-01-07,128.8000030517578,128.8076934814453,127.9000015258789,128.2100067138672,128.2100067138672,707719,15:30
